title,price,area_room,location,url,img_url,agent_name,agent_company
大兴机场附近科德学院空港新苑6号院精装高层全新家具大两居,1799元/月,2室     88.88㎡,大兴周边    空港新苑6号院,https://bj.58.com/zufang/82308933315421x.shtml?compressed_params=H4sIAAAAAAAAA11STW-jMBT8N7mxxXjDxyFatQuVI1Iw1A1JLhXGNGBqN7UDSfj1-9o9rLQHy5Y9783MG9terJAf-gihJfa8EPmuF0Q-irwgjDBadB-jbddihSO8DFw39FwvDJdesLBdrY-fY61Xor72-jgDkve1_vcAVX4YooWoz_Xzx2iaduUtzsD3M0TBskat4zchd36GEXJCscROLThCb23g8jdvUYvX8-3UruR18d4eofx9dXf3dWre-2b4sQx_NB_qTo7q9Otcm2N7Xtn58-H0gIWp8-pl2r_tnspO3fIni6JZI4YN0UijWFDZFLs6R6fDZfvCAm5valaTyilSsyWjQ6W7pfeXzvT7nJLRt2Tt00phRS5cdYFPWYyNzAZKmoJKPmnCkU7iVCOOKHEHLYFPNl-YmQ5xYUg8aPZvtzIuGAE8cfdaujPwgTbgByzLRmlJhvPWe35X9aMtU2l3p3Jrdk9Pz13nhJ2_Tf7Wq1vxepwuztgF4uVwuarNZb7K-HXsSn99KOex_HR2h_T6H-4MWrffekkE_mJhSDSZLy2kEbpSg2HxxL44bhefyiQ396qwN8qN5FsqHzs173MteW5J6VByceiUIFplmEbgUXKhSZYbqWBle-hfaMIE6AWPWUEJx7TiG_C90SQRtGIpvL1q8MMIC2F2wkidQ1Yp6_cp6EiTabtJ-O955I_Hk1MedsS3ZUbL02Gdjmj_CfUDfcBY97iADELgBz6WwqxT3Q-FToL2Cn60ZEgP3_usK4YYSTBkIBQJHMi9MvcN-Ity3e_xKDNkbwFXVVyMXbbR94-djuLvnt-9-2EykuVWKsgZ7pMgXMOc2S1GYxVvaJUgBX9nlG6hUPIHCT-ZwWYDAAA=,https://pic1.58cdn.com.cn/anjuke_58/667ed220f6b269b805367b83e508b4d9?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,梁博,金屋宝地
丰台 张家坟 聚源阳光新城 两居一卫 临近京盛时代,2700元/月,2室     75㎡,云岗    聚源阳光新城(3号院),https://bj.58.com/zufang/82354431735388x.shtml?compressed_params=H4sIAAAAAAAAA1VSwZKiMBD9G2_sEFAwB2tLB8a4oAQXZdjLFBAFwySjweDA12-zW7VTe-jqrlT36_dep72wBXLmDkJoZlvWHDmm5WIHYcudYxtN6g_dnjZsYeMpmllTB81NF1vT2aStc1nddC4XvZYV1F8v0O7OHHfC8nv-80Or8rSwJndYZGGWF-45N5z8ZBvTsnANjArbOGHmnmdzbGIrn-Ts7d5fTwv-OXk_VTD-vnh6Gqvy_VI232bzb-WHeOJaXL_fc1Wd7ot2uK2uK5upPEoPXXZ-3e5r0UfbFuFBol1GuYwpkkwibL_mEbr-ehwPiVu0vRhEJyKKxNASbVBuHunyUatLFlGinZZsHJoKW5BHIWrXoYkXS14iSsqGEtxJVACuFyRERpR7TKZ-JwluKCoGyneBJEUoefKVL00sfS9OiBdSnoTQHypedIqYgcTu0h8yptTrcJ7XyerCfH8Ia-NAtutoul6vD-vnA2CO8737dnBvhe61s-njrOpoZm6buF1qQ1QPZtb7T105TdX93_fJvaAlI1_PVmSHJEkymiYINMTAp5McBxR74w4ml2WjeLDSeTZ6FLYEfFl6RwXcVZ51mpux4i-pSCXT9agVg2cS_AEPuM8oSQbwLpLgGWgE772GcgFRRgoyRJeAlpaDHt9r2jSxKQffUriVDzwhEt_l13CTX9KX2jc2P_a7TaS8495n--dN5m5nJIO9SdemOG5TD6mLHVMCXBKv-YddHW-gt5Fcor-5HKAOZGoUoi9DXXtHWruGHLJMdCXoLGLQdNTEKGgnGHBvFHlxRo4QI_YfXMr9N4p2HW3Ge0TssGwC-CeprPeFrL1IdDvQumMC_wZ8aV8fYgMAAA==,https://pic3.58cdn.com.cn/anjuke_58/2adac30da398af84304fe71e6aa9ed5b?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,丁辉,启航海拓
丰台 张家坟 聚源阳光新城 两室一厅家具家电配齐,2800元/月,2室     85㎡,云岗    聚源阳光新城(3号院),https://bj.58.com/zufang/82387016318428x.shtml?compressed_params=H4sIAAAAAAAAA11RS3OiQBD-N95IGAYHOFhbyUJqLBRGQkS8WLwiDs5EGQHh12-bHHZrD1RPNd39vdSpXCBiE4TQHBuGjYhuWA5BjmHZDkaz-qtT1bJcYMecE2dumqal25joM1Vn8njtMrkYO3mE998OjFtzYs3K7Ja9f3VtUS2M2Q2Assye64VpaJU-NzXTrBzNzjHWbNMy7Ayh_NMms6w83MZLteD32bk6wvp58fz8eBXnU9E8ze2n4ks8805cft2y9ljdFmq6vl5ecdlmYfLRp5-7dVSLMVwr5EwSOSvJ3V4iFzNe4F0Wost-2H7EVq5GMYlehAyJSdFOY1zfspehbk9pyGhHFF0Slggs6JCL2iIsdsuWxqHkXsqSAjMar5jj-hLlKaNwh0Kf603LZS9jd9NSvfm3Ku5uYgrzVE8l1yeYxS3stbGL4qDjigY4rIz3s8jeVORztbtE23a3Xr_XtWbXZOv97Itxczj2g9bVVvmxH-5iNUx37h66OiLLfTR10VXb7f37f3M36blb-ADfAa4FBh59S4P-URnKEWjp4wfGaOWiH4igeaqorzEqt4y_1SwrCUM69LwUFIbtC_jSi03ngEaelzJxNuBlyBKvBN_A87gHvqAxmFrurliS9zLxANNbtTzw4d9Bgp6YxrbkDnjqNOzRP6U-8PC9frvy8t9Tl78dL1q031GiooBFl_3S71B6hf2GvWIsT3gDGdiSBiXc8sFrX56ajfSs6g56JI-RbL7rJJMYgT4C-I1A3qTGoIHcQN-gQe5YJBIpClxQAbm7G1EL_J1x_M3z5y7oV1wHjboPGPYSfI7HIgRfwQcxyRfwNJEPP_4AtT8ofl8DAAA=,https://pic5.58cdn.com.cn/anjuke_58/5c5f70b09d903c4ef48f96fe97f097af?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,刘春雪,鸿飞远晟房产
丰台 张家坟 聚源阳光新城 两室一厅家具家电配齐,2700元/月,2室     75㎡,云岗    聚源阳光新城(3号院),https://bj.58.com/zufang/82387232831195x.shtml?compressed_params=H4sIAAAAAAAAA12SzZKiMBSF38Yd04RogIU1NQ50xUIl0GkRNxZ_itGkbWJUePq5di9mahZUUsm995zvBH2sp4h4BCE0wY7jIWI7rk-Q77iej9Go_TC6mddT7I8nroPRxMNjhxB7pNtCHT5Noaa9UQfY_z2BcndC3FFdXIu3D9NVzdQZXUFobDte5TjIcvB-b40L17O8snCsel-TSeEWzr4Zj4p6d-0vzVQ8RufmAO3n6cvLc1edj9Xpx8T7UX3IF2Hk5ee16A7NdaqHz9llhuuuiLP3W77fLNNW9vFSI39QyF-oTA2dUImiZb0pYnTZ3tfv3C11Lwd5kzFDctDUWEzYa_br3nbHPGbUEE3nhGUSS3ovZesSxoO6ozxWIsxZVmFG-YL5QaRQmTNqgxbcC5WrTN4UD5KO2qd_Vy2ChFOop3auhD2AHu6ojDse5HxlhKYrHDfO21kWrzqNhN5c0nW3WS7f2tbyWrIOv_tln-wOt7tlWrd-394fcnEfHiLYmTYl8206mPTT2myjx391VxUGa_hA3we-CivQA-_ArxadWD093_iXBilNW8Ud1GgK3BRyESaTszyWt7TUtIolZUSi1ckIO2dPRlHWKvMTRn1gg1mQjRI8Br_AuIL8n9mEJ9BGTKziTsgI7nYKeDjlnhL-AHo55BfxYx6Bjyi8rRdh-Xsw5evhYqXbDSU6XbH0sp1HBuWf0H9iM4zVESfA4QFPDbMi4IjU8ZSo0G0ewAM-kDp9rYPKOOIUfGQkU1mVAAsyrYR3DxZdkWPZBoPu760Rspbw_qqF_-I5j3_5_J5Lw1wLu2aZHYGGN4eceR-cOmEnsg8TllkzI15nTMg_dLdkNl8DAAA=,https://pic2.58cdn.com.cn/anjuke_58/c7ad2b816b77931a81993fc0ade7efce?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,刘春雪,鸿飞远晟房产
四惠东南岸一号480平整栋办工接待精装修内部楼梯近地铁好停车,38000元/月,5室     480㎡,高碑店    西店村住房 距八通线-高碑店1421m,https://bj.58.com/zufang/82362459867228x.shtml?compressed_params=H4sIAAAAAAAAA12SS5OiMBDHv403dggoj4O1pQtTsVAITEbEi8VrhGCiQ4wPPv02zmGr9tDVpEl3__uXlm01R5ZjIYRmpmE4yNIN27WQa9iOa6JJc1ayXlVz050as5lhIIg6pm1MZJOL47fKxfyYn4u6rdpcFOxfGHIsd6pPqvyaf5xVX9ZzY3KFbvVXnhdTZGuGbSNtqiNXy9FU1ywbzcqZq-tuXUzy6nB9Xuo5e0xO9RHST_O3t_GrPLVl92vm_CrP_I0pfvl9zftjfZ3L4Xt5WZpVn0fp5y372m2Shj-jjUTuIBAfCAujnvG1SEtzl0fosr9vP6ldyCcf-I1HBO5IrDTC9C1Z3Ju-zSKClSXxyiIpNzm-F7yxLUI9UyA_e1kaxgJ7HXG9QKBiPFdQP-5ZgXom1sL1kGBlJ6gHMe_lJfNiiuE-1jPBdNClmz3mUU-9ioaKSRyaUW18nHj-LpOAyd0l2fa7zeajaTSnsbb-Tz5_xofj7a6pxq4-9_cHX9-HB_MOqkms1T4ZVPKt7fbB4797V-F7WzDo78J8pSlSFzSITiABfIoYNN_o2OMZdmQ0nAADfyDYAy4hUm1mksUrtiYp1E1XqbjZqXLHGYtqrNezMiPMG5lnPfYQ6IUZwzEO_fyRTQxcRuYB_DsAQ_DUEQzeioWox2VA2ywAHYF_26794s-givfjRUv2O2zJJCTJZb8KFMq-6ch_aZqiNWN4A0fgsIJaAbAORNvFwrfrB8wjGEWie_lBpBTR57gf9hJ0riUu1wTBfIzGfVtZAvudxLArOEkJLjrBNI2Pb0xfOn_qAhPJYG8YnH3bWQFn-hSdWpSI3FTRs6AQC9inhfgLxC1umGQDAAA=,https://pic3.58cdn.com.cn/anjuke_58/04a3f7d82210dfa0c239b8ed1557d722?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,李宏伟,嘉信安居
东四环 临商圈国贸CBD 临地铁四惠 豪华办工会馆有家具,37800元/月,5室     480㎡,高碑店    西店村住房 距八通线-高碑店1421m,https://bj.58.com/zufang/82243970173787x.shtml?compressed_params=H4sIAAAAAAAAA1VS3XOiMBD_b3yjJUb5eHBu5OBMB5TIoZR76RCiYihrGwQLf_2t3kPnJpNJdif7-8hue5YLYjkWIWROp1OHWObUdi3iTm3HpWRSXbr28CIXFBPUmc8pviCWTSZtVcDpsytgcSou4nCW5wKE-k5jjeXOzIksrsXvS6fLw2I6uSKbZR2oO5_NDOHMj8aM0rnhztyjUZqFQIqjcOl0Usi36_BxWKivyfvhhOXvi-fn-618P5f109x5Ki_Ns-qajx_XQp8O10U7fnofHpW6iLNdnx9f10nVDPG6Je4IWUA0M2tgJuHEjV6LmHz8ue13qS3aoRmbvok5acaWdQZX5p4vb5U-5zFnndWyF4tnDW3YTTSVbfHU34IKYq1MCQwoJwJjM0wZxJCZRKuNBOJueeb3nPghkHQElX6f53oLgb9NmR9xlUaoLdJK9Jq5IXftZTDmUuvX8ehUqXeWQTBGlbFj61U8W61Wu9XP3SZ81A_2287-FN3QWS_DNj_1PDfX9bZddkZzukmzSr66k1Wf-v_ffSk_bJmPen2q2WbUKkCdDWoxt8AaydUGdaDuwBZdZhug_PrxF0rULQtqULDXQ1KBl0u-hIgTnkEmaiBBCMzFPyspV4iXmeitRG9lBK6_RY8SMjfHPPIJ5AsoMDGm6KVV6Cfw6zZLKShBgECP8R53mG745SX_NYWqK5J-ldwiQc8yUclgRcFgfs6Dez8aRyvfwX7EbeZLjlgpS-8e3wC9vkY5aktRI_w7s7KGGvtTbXAuNjkvpKdVUqE_5N7sNQvizpMZLG2PE6BdVcZAyvCB-cB-4Obg1di34B6Hu3XyhvPk4cwYUEGPK2oygT3n1l9EWLcrZQMAAA==,https://pic5.58cdn.com.cn/anjuke_58/09264ac707b8b0f1b115bac28a27390c?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,汪照宇,玉府地产
丰台航天院云岗张家坟精装两居采光好民水民电包暖气物业费,3000元/月,2室     75㎡,云岗    聚源阳光新城(3号院),https://bj.58.com/zufang/82410236293467x.shtml?compressed_params=H4sIAAAAAAAAA12Sy5KiMBSG38Yd00QkwMKaage6YqES6LSIG4vbiMGklRgUnn6O3YuumgWVhJzL_38n6lTNEXYxQsi2plMXYXPqeBh5U8f1LDRpPrWql9Xc8mYuxg42kQ03yJ6oJpfHq87lfNDyCPufPxDu2NiZVPktf__UXVnPp5MbNMor1yvyWWHYqJwaMzsvDW9WWQbyLMeuHTz1CneSV4fbcKnn_DE510dIP89fXp678nwq21-2-6v8FC9ci8vvW94d69tcjdfFZWFVXR6lH332d7dOGjFEa4W8kXK_lansZVogysVql0fosr9vP5hTqEGMohcRRWJURBuUm1v6em-6UxZRorEiS0xTYQlyL0TjYMp8SxJWydTLKA9GSURPWz-UqMg6DnskWkk2I0VeTAM_7ojZSvazKu7HjEA8MTPJTdBmWh0RUcf8FdtorsjGiurp-1nkbyoJudpdkm23W6_fm8ZwG7wNvvPFEB-O_d3QjVN97O8PsbqPD-4fdJPg5T4ZdXI1dvvw8V_cTQb-Fj7o74E_CVz8FU2LWHI_o2hjgb-effXAqUSsp4OTPhmA3icXLMdq0XGvVaTsReNb9BVqkHujnx55UUEOMDFXMmWIoqClqZmBXvC4QZKXMUUmxAFvArNIWQh3Bwl-GGEu8ACmEPM8n7IQdIRBv10FxZ9RF2_Hi5HsdwSrZEOTy34ZapRdIb-lC8uSJyuGGbjAvoJaIbAO5amNZeDUD_AjOUOy_VrHpzY2OEXHjQXMdQHMY4HKLeUJFiPM_TVAiviRRGaliQnvxlh0z3rsS-d3XRJkipsV-Auhh7sEzmwIeqgPb8MAXn4kgIXm_j_oqVF_XwMAAA==,https://pic4.58cdn.com.cn/anjuke_58/e906c4201f10eb071a8d1deea8f7044c?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,贾高勇,万寓科技
红莲南路 达官营 马连道 整租无中介 近地铁 家电齐 拎包住,2500元/月,1室     30㎡ 房源备案,广安门外    小红庙甲4号楼 距16号线-红莲南路552m,https://bj.58.com/zufang/82367352359133x.shtml?compressed_params=H4sIAAAAAAAAA11R226jMBD9m7zRYtxweYhW6YbKESkY6oaQl4pbA049TXEgCV-_QyvtSvviGdlnfC6j22pBbNcmhMypZbnENi3Hs4lnOa5Hyaz57HW9rhbUe6DEcR_mjodAz5npJofDV5_D4oDHIQdVwyVv_93jkO3O3VmVn_OXz74r64U1OyNd8WC5pWnVRvnuvhsP1jw3XNeb42FWxLbmFUqZ5dXb-XaqF_I6-6gPOP6xuL-fuvKjLY93c_eu_FT3slenX-e8O9TnhR6_Hk-PtOryKH0dsvfdc9KoW_SsiTcCURsgIdYwAgZkl0fktL9sX4VT6Jsa1aAiTtSoWW9waW758tJ0bRZx1tuarW2eKqrYpVCNY3OxIsC8CFJzA_4qAFJkQFabTvoVJ0XMGUT8iBgijiD-1ljLVSwY4pmZgTRH5KEdU1EnVlSEvdQspFFtvXyo_EkngdS7U7Ltds_PL01juI299X_m1S1-OwwXo2-c6nV_uarNZbzK1VvfJPZ6n4x98mXs9sH1P9wZtW6_9aJ21Fh1UlD0jHmUtJPhBnUM4psDSCeDdMpAs9XAb_6WS8S0la3SMtNMIN6Z-rhPV9Nc3MmiwmwpSG_DiVlNHnkaDqgXPYaEM-_YSXPoWDFwAtgXAb69AfoRTLiYB2YIA0z3bRagjsAfthu_-D32xdPhZCT7HbN1EvLktF8HPcm-cP7IHymFlsa4AxdYWOFfAWYdQHuMwXfqK_oBKZDxu46QCiJuZQapnYJ8MvSNN91STf4q1WZ08qGZR2Hpxzwtqx53xqfMxLfOn39xv1oqip4C5HDXmLNgftRjXooAhZsifJkYihR_APyVSIxdAwAA,https://pic7.58cdn.com.cn/anjuke_58/d81f5c43372cec2b55b76cca42254808?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,王秋梅,博大恒远
宋庄中式三合院儿~民水民电~带水系~全家电~随时看房,10000元/月,7室     400㎡,宋庄    平家疃村住房,https://bj.58.com/zufang/82240992411996x.shtml?compressed_params=H4sIAAAAAAAAA1VSS5OiMBD-N96cIaABDtaWLoyxQAluFNnLFA9HTCatguDAr98e97C1h1SHLvrr75HmXM4IdSghZGqZpkOoYdouJa5pO65FRtWlbY6rcmZhwzAmljOhhkUsOmqqDE63NoNZc4HTUOHtPvzr4og5nVJrVGb37NelrYvjzBzdcdvHsZgUxsQYG7TMx5Opa44zw3XHk8wssqM1weqMsvL93l-PM_k1-jyecPxz9vr6fSs-z4V6mTovxUW_ylZff9yz-nS8z5rhtrgurLLOomTXpR-H9bbSfbRuiDtA4qua5QOXXoy1O2QRuf5-7HfCzpteD7rTESd6aFg75tLY8_mjqs9pxFlLG7aiPNGWZo9cVzblwuuAuBEkOubSDYFtOq68AAjiE6G4BItLrYB4hLuexZlQgm1ikCKAs4rB92LBvJBLESKvsJZ5VzM3qH177g9pWdeH4cOpxOJc-v4QVuMdWy-jyXK53C1_7jbBc76333f2LW_7lq76OD11PDXWKm7m7VifHqVRbb_aE1Wn7v__vqQXNMwLcL9VMx-9gK6WG9RgRCA9gloC5PzcwaVNW-kO7blctPPtuGF-BL2312xDsEdR5wCkiKHbxLqCAJgbob8REI2a3YEneYrah1qg5zJPgeWEJ25ZS08B06hbWAL3NJgJVtUkAj1BX5AXfu_xBGLDL6v0zQR8XdtuuX2EuXUut3Lb09DvjdsU50FqBzEdYBA1iVdyxBJMfGt8B9R6CFPkJjAP-FuTQoGyq7aHVBORQpYqXj0WqK-sWYH6RITZp5q9JbrfEC4fFBI3eGI-sZ-4KR_UwDF7UN95ROVurgLe84Qz9I09aN3rGDmFrf8HQG6YRGMDAAA=,https://pic3.58cdn.com.cn/anjuke_58/210195987fefa3c43044a5f83eadb16c?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,王靓,阔峰地产
真房 国贸四惠高碑店1200独栋出租 荟所 办工 接待一体,128000元/月,8室     1200㎡,高碑店    西店村住房 距八通线-高碑店1421m,https://bj.58.com/zufang/81533664449755x.shtml?compressed_params=H4sIAAAAAAAAA1VS25KaQBD9G9_cZURuD1ZKw8SxVBgMiOTFAsblttMqCC58fRqTqlQepmbo7nO6z2maQiyIbuqEEE2dzUyiKzPD0ok1M0xLJZP82jaXjViopqrPdX2uaJpCLE2bNHkM2b2NYZHF1-RSiCKGpPwXRoxuzZWJiB_xz2tbp5fFbPLAbmlyMedqqkyJSch0rhtiaqVzbapi9YcwY1UoySQW50d_uyzKr8nnJUP45-L9fXyln0VavWnmW3qV72Urb98ecZ1dHotmuK9uK1XUsRsGXfRx2h9y2bv7hlgeZ0B4KCNeUpcTR5xil9x-PY-BbyRNLwfZSYzLoWHtlJfKkS-feV1ELmet3rCNjlhVsmcic0Pnvj3wMt1Bqbhg2VsgFnLTDk_FmVMBSwSnNoEyrcC3vbq0X3dT2p7PsJ4pEWKRQ1FrJt0ac-AbSzpEoq5Pw4eZ-6tCUDrs8mnA9mt3vl6vg_X3wNkCRY7eOAfGPWn7Vt_0XpR1PFL2ldcs26nMnkLJD19tpldZ93_dV2lvG-yPM2BfhwCzBghh9ESFED0K7S0f9VDblSzd8d4I6zjqMEcaRt02tI4S9clVNKBWIlEHz8GFlyYLvQLUmg5AHNTmeDVLCPJhLBFAbOyREl4mLubxbQ8-_esJtasm9HeYx1qf4PcRz9Z3-HUT_ZhB3saHbn147hK1EIfy0Os72it3DfFQShP9NYGB24T26HvlM3_UeB7nOu0inM2vgMCfO8SdVEYoc0flJQ8hjsb9eKiv4x091j36UUSkZrRqc4o75wks0-2L88X94o1gVXVjzbjPYH84B75dtaEzAPrDQwc9gQj_C_c3LcI7l10DAAA=,https://pic5.58cdn.com.cn/anjuke_58/1603bab61f16de546fe6b39555385540?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,常学伟,烁巢
