title,price,area_room,location,url,img_url,agent_name,agent_company
重庆西站 轻轨站出入口 温馨两房 拎包入住,1000元/月,2室     70.14㎡,新桥    创豪华岩世家 距5号线-华岩寺523m,https://cq.58.com/zufang/82254532136285x.shtml?compressed_params=H4sIAAAAAAAAA0WRUXObMAzHv03esmJIMDzkdslBzzlSMBsNZS85wGmIqZXEjtPBp5_obrcnyZIs_fSXOYsVcV0_oJR4rhsQ33Fd6oauv1z6Dpl1F2uOW7HyQjegHl344cKhrkdnpqvhdLM1rNrb7zPczvXlfww_BKHrzUR9r39erG6PKzK74yi_DgLfWQZz6jnL-WLpkXlTN-18Eb67tCbC8YU3q8XhPlyPq1HMPo4n_P6xenqavPbj3PbflsG39qKepFXX7_dan473lRlvpXP2hK6z8vVRvb-9_OjUkL0YEo5QphVnMAKDB5SheKszcv31uX8taGMY9KpscyCRMMwhINWer7lvN1UGw-fcDClRg53r9ecGhnS0cVTxsumBtBmXjUBLdBElQJpRS4dwEj80i3uOcd5HfcGiHoooNzLKCwY7fO-4LHZQxkSzogICCcT0cD3x6q2L0ce6ONqjTYCFGZ-YWUq0jAQv4wqYmvo9iqmOhRWXkNn1c2eY32E9squeIzsy5maIPT1wXxEYFbEbixz6i1nl2NdDhkmXHpgzcXka5_Aywnw4cubkIMNMszbB3AFYlODMxMSTpfK62yZ2Lbp4vjWoj9ienoNY0J1q6MuSVchePEwZ5qaMiD57OC9NkLufuL-0OO1v_7QBWUwMVcGsr2X4AJl6f2-R7rlMCZzFRg3PpWFxZst2pxhtQNoG-mjqiXwF6u8cuGwPuN-I8bwYMvG67hPbqR1fA-6UCs4U3icSNv4DYv9tO_QCAAA=,https://pic2.58cdn.com.cn/anjuke_58/3a69476a7ff68b08f3fb5194c6d582f7?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,任利平,优居优住
可短租！可押一付一！华茂旁巨宇江南1室，家电齐全，拎包入住。,950元/月,1室     40㎡,人民广场    巨宇江南,https://cq.58.com/zufang/82452910655707x.shtml?compressed_params=H4sIAAAAAAAAA0VRXW-jMBD8N3mjxRA-_BCdEpnKETSYnhvKvUSAUwjU2wQCEfz6W-50uqdde3Z3Zmf7i9oQy3J9zyO2ZfnENS3Ls6jlOo5rklX9PfTnvdrY1FkTi1JCfdf2ibfq6xyq25DDpjuDvkCFaVUun-XtP7h0OpQ6K5Xf85_fQ1eeN2R1R1LPz9elq4jhOfmnsaZrx6ClaRu5a5turs5rz3dXuTrdp-t5M6vV17nC9q_N8_OSlV-Xsn1y_KfyWz83g77-uOdddb5v-vmWmhdbdXmcvo_Z58frW62n-LUndBbNYe44a0V6UILI6COPyfXX4_guvaLn0Oq0TIAw1XOTQKOPYivcYZfFMD2MfjoQPQ1Gt33sYDrMQ8Bm4IcRmqW2nCGVtqAsBFIo0TDkKZKO0xEITUTLWom8IFnSNyyRHCJ8R6KREaQB6bjMgEAI1DtdK5F91EEIAdYF7IgxBE5jwWFEPgLpMrMkXcMyIdkolzoe1pqUsSZBi3tEHTePuKvSs9oJbs49D3dDCokgLwXwt3qZ3TWFAqITnLtoRS0HxM1Fl90hj0gZ4mWM-iPcKQIOIWIn4CxEzrAPlug112gfDltVB8a-R3_UvnrxA-VFuvBeHZ6hdjn2KU36lJHuYiPfIUQf2kX3Hy-q4-2fN9DIFriZSW7amj9SUQcJ3kLpCW_RFJm4ZLijJP3E0AM5aryLaMy_vkvUwyX6b54EL8fu0hLBi1gs_kyxet-2IaQ6GvjLbuAy0rVwoQ4iaH8DuS78uAIDAAA=,https://pic7.58cdn.com.cn/anjuke_58/27c822724094c14a8cb1c1b5d2aed4b4?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,张欢欢,捷居房产
企业场地首选 民用水电 汽博中心金童路轻轨站旁,1600元/月,1室     48.12㎡,汽博中心    重庆新科国际广场 距3号线-金童路588m,https://cq.58.com/zufang/82452938780634x.shtml?compressed_params=H4sIAAAAAAAAA0VRXXObMBD8N36jQch86MHTcUZ05MEBkRIT-uIBifAVzjYyuPDrKzLt9EmnO2l3b1c1cocsy_FcF2HL8pBjWpZrEcuxbcdEm_oyqvIgd5jYW4SxjYjnuARtN6rOobqNOexuTXFZ6gtUvxv43z6suBiTjczv-c_LOIhyhzb3lU5YufPhCaMgrmVsP9yt4dm4NArsmmUhbWKZYpPL832-lrtFbj7LSn__3D09rZX4bET3zfa-iUv_1I799fs9H6ryvlPLLTUbLIc8St-m7OP95bXu5-hFIbLwNlwGBpgj0vEUsvc8Qtdfj9Nb4haKQdenIgZEpWImgrY_8T13xucsgvlhqDlE_Twaw_7xDHO4jD6VAxMdR77GSyJgIh58GgAqJG8pAhTGAyMTR0XME9oljHaQ0Fi1NE4YHPX9yNvkCKmPBpZkgCCAzj1fK569134Avn7n0xOsmIxEnMEELIw5MxddL9DSCDo6Jes7xh3Yi6xPX58Ve9QcmSfe-t3QZBhqP1NzP42MxiMbDdiPKSc0HtpCAuo1nt6j1VpYkQ0t0VgUDyxEPKVS82Fgpp6LdddAz87AaKA5A-Wvp9tej4dg3MvaNw5K-yMP1Q_Pl-6xL9wXm2VaezKplMQqpWhosOYLA1j98P96UZ1u_7yBNuk0X5YwN4WaTmPqpGoWEUdCZ9EfeZ5hzrjOQiCOAqOv_a8M-o6umFpfov03z7wlWqfQGRTaR9c7zPE5YUGt-xFPe529mY1fc_EHXBznI_kCAAA=,https://pic2.58cdn.com.cn/anjuke_58/d5e611820dd01275f9d4f7b2e583dd16?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,鄢杰 7日内实拍验真,房满家地产
巴南万达B区精装一房出租。可以月付，可以短租,999元/月,1室     49.00㎡,龙洲湾    巴南万达广场(B区) 距3号线-学堂湾307m,https://cq.58.com/zufang/60126069167530x.shtml?compressed_params=H4sIAAAAAAAAA0WRUY-iMBDHv41v3DKgrTyYiwY2NbBQ97qy3otByqlgR5cKG_j0N5pc7oFMO_w785v_2LNegOexOefge94cmOt53As8NpsxFyana2ertV74nE_dYAYsmAbMZXxiTwUev7oCF5crHkfSfRf4P0tPPH_uwUQX9-LXtWvLagGTO3UreDn1vRl3Kl1WzhSK0jlUPnN8mLsHl5cAMJsUen8fbtVi1JNLdaTnl8XLy-NUXs5l82M2_1FezUvdmdvPe9Eeq_vCjl-5e_Z1W2T5R7_78_n2fjJD9mbBNCjKHmuToTCJFNh8Fhncfn9vPxQ_WLqbvNwghNoKF0i3lUvJutUuw-HbsUMKZuicdvm9wiEduygkTZAhpAkK9KVQmWzCGMFNZE1nEfatiDKZq57yjRJhgyrc2DrcKIEJ3R-6BPMIWqF2CBhLxfe3o9x9nqIYI9JF4ZZijCKgetijSDdYY0LaDHPqGYW9ip71RimY09buaAWjeYmd5uzOetWKcrRD98j1ZkiphkokcbT1QSOYDXE2sj5QvSePT1x-K1KQeahJu6NIX6QluDH926MIY-oZ2-gReX1L1nG31KfIWVvyR6-Pr_NI88Qc-NtM7Ihd9TYPNjYPoT371C-NyYfmwf304rj9-ucN1op25O7UECYGIsA8TezwfjB9SvNwZka96sgH2hXxxyus1znxbOTDI0U8Qj3830vaszw3I0IwPn0cMv2xbIjzlbVLqgdGY81OUkiGwV_FtDPX-wIAAA==,https://pic1.58cdn.com.cn/anjuke_58/4c4508ed8be1ed0cfc65dc72f362f6ac?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,徐长生 7日内实拍验真,房兴汇房产
业主急租！价格可谈！1T4户，华岩中心 门口华宇商业！,1450元/月,3室     90.60㎡,华岩新城    华宇锦绣花城(1期) 距直快列车-金建路813m,https://cq.58.com/zufang/82451867241691x.shtml?compressed_params=H4sIAAAAAAAAA0WR226jMBCG3yZ3bDGE00W0SmQqR6Rgsm4oexMBTkOcepriQBaefodKq70Yje05ffPbXOSKOI4fBgFxHSckvu04gRM5vuf5Nlm0n705beXKjTw3inzXd0Lf831vYdoKzl99Bau2r8YK_lygaU9w_h_AKicIPbKQ1b369dl3zWlFFnccWMt37325lJYXBJW1rN3GqusgtBqXeLUbkaVL_EUlj_fxdlpNcvFxOmP5x-rpaT41H5fm-sMLfzSf-kn1-vbzXnXn031lpq_Cvriyq7LidSjf3172rR6zF0Oiias075TeQRHnvKjztyojt9-Pw6sIasPgqosmB0KlYTYBpQ98zf1-U2YwPiwzpkSPvdWtHxsY06mPqexYjP2iHTA746x2eUQTILVEy3gBAxTRwJkeeEyvgtErCJobRXPBYIf3HVdiZiEdEyUQSHgcHG9nXr61cQIx5sX0gD4BFmF_7MfiK85BiyRX8cAFHcScN0LJFc1wLjGjlt2aHrgKCrhIn7e6NHOtghLNRaZp7t2pmVPnyIB7YD8GyJFOyOWiJ7ygmJ9mnUoxJgjmJhg7AqMJzkxMPPtA3XbbpF_LNra2BvWR2_NzGMtgp-vgxWMlsovBFFFuCkq6i5tzliaow3Xm_tbifPj6pw0ocUUtSzE-132xb7l64L-kOz7gPuuG6EludGG7ZkS12H6D-yI_5N-6C-RhAvW3j_h2BMzjyApxEG7H_ChYb_GW5prt206JSTP8x7X-C-Xt9Wn7AgAA,https://pic8.58cdn.com.cn/anjuke_58/8309e1675a4d6f3295cd5f22ad942ca1?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,孙黄霞,到家了
价格可谈，业主带车位包宽带出租，公园城精装两室，可拎包入住,1600元/月,2室     75㎡,滨江新城    金科中央公园城(江津) 距市郊铁路江跳线-圣泉寺站1413m,https://cq.58.com/zufang/82407025958107x.shtml?compressed_params=H4sIAAAAAAAAA0VQzW6jMBB-m9xoMS4QDtEqFVSOoMF0aSh7iQCzAVNPUzuQJU-_Q6TVnjzWzPdrerEhjuOtfZ9Qx1kTz3Yc3wkcz3U9m6y6r9G0O7GhwdPacT3PX7s-sQldma6C0_dYwabuQfb4-dND07Vw-r9CnLNGopWoLtXPr1E37YasLijp0MDzqONZDvVd68kPWivwmsBqhSNo_SRq6vqrShwv87nd3MTqsz0h_HPz-LhMzWffDA_u-qH5Uo9yVOcfl0qf2svG3L4Lu6dCV2nxPpW_P17fOjWnr4YENy7zBGQjNNtTYHnyUaXk_Ot6eM_92jAYVNFkQEJhmE1AqgPfcm98LlOYr5aZ90TNo6W312eY97cxCvGmvgHieBFQLe0MojAGUpcaNXihEi33CepkMIRDzsIB8jAzMsxyBgn-k7ufIiKa5SUQiHngH88nXn50UYxcWR6FhzsnC1LOYEIt9B1NmgUEEI98U77csVqAtDqQUWYwl5rhwGWQoXeK3oSZX55B5lTNYTrKa80RoyViiMK8QcZZU97nAvlYSLEfwouQaBkKYPtUIxZkGOPuiLoxasYmWl5fnpNdPG5FF1k7g_2I3ellHQk_UbX_6rISveeTKYLMLHw9Ra19jL6Hxfe9i9Ph-1836HEAZpc5a7ATNQFpJoMzJ3vMY6djX6a8g9TMbzV0EVHFtVYFCD6ECyf6y7F_-4h5Jl0NNy2VWLLmcyret0OsmV-oDjDbS82nJuUSkjH6Cw8H9RkAAwAA,https://pic2.58cdn.com.cn/anjuke_58/e6ecd244175d2828733125f0c6adb2c7?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,黄正伟,万亿邦房地产
轻轨站出入口 温馨三房 低楼层 朝中庭,1500元/月,3室     93.00㎡,中梁山    华龙苑小区 距环线-华龙191m,https://cq.58.com/zufang/82308127272156x.shtml?compressed_params=H4sIAAAAAAAAA0WQ3W6jMBCF3yZ3tBjCjy-iVSqzcgQFp3XjsjcRwWkIhEmKAxE8_Q6VVns1Y8_MmW-OOesVcRw_DALiOk5IfNtxAoc6vuf5NllU194cN3rlUtfzaOAv_SB0lgFdmKqA03dfwGqqrnC6nPE5__0v4FRIibfQxb14v_ZdeVyRxR336aVbfi1JaPl0GVpLYmurcDzH0kFp-19F4BQ0WBR6fx9vx9WkF5fjCccvq-fnOSsv57J58sKn8to-1317-3UvutPxvjLTt7LPru6KTH0M-dfn61vVjtmrIXQCIl3gZQLKnoCnw2eRkdufx-5DBgfDoWlVuQXCtOE2gbrdibXw-5c8g_FhmTEl7dhb3frxAmM69RHLhTo0QMpM1AeNkXSSxUAORPA0E6TFuu2CipIuYo3krAHJtqZmW8khwXciaoksEem4zIFALJpgfzuJ_LOKYoiwL2I7jDFwmgkOA3DsUhR3tRr1G6BskHMfp41Q_UFUj8qMsIUqRfY0F5N-EepNIXsDVekKEg1QMz1rdz_MLd4LU4c8qK9FTV3kcjueEqEYmW8DJRNBpBYKYqztgbMYd8YmmmNQ35JN3K91FVkbg_7ozel3GOkgaQ_Bq8dzZJeDUXRrUK87u1v0JkYfmpn7x4vT7vufN1DLBridyzHKYRCVqJlreIv-0h3mTV9oH1Q6mTFKWiKHvmIJVCwTDZs1kU-i__Ze1LDH-7Zi9mbM9Me6icWA1_I3C9TDh3VwEOuoaelfY4RP3_kCAAA=,https://pic5.58cdn.com.cn/anjuke_58/04a78a5f1116db05d0a1c9fb4914bed3?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,任利平,优居优住
巴南万达旁精装一室一厅在带一个衣帽间，便宜出租，可以月付,999元/月,1室     29.04㎡,龙洲湾    旭辉城(商住楼) 距3号线-学堂湾529m,https://cq.58.com/zufang/82344116943325x.shtml?compressed_params=H4sIAAAAAAAAA0WR3Y6bMBBG3yZ32bWB8HMRVYmgcgQLTtcblt5EgNMQiCdZOxDB03eoWvVqDP5mfHxsLnJNLcv1PY_aluVTl1iWZwWWu1q5hC6aW29OO7m2A4dYxLEtxyO-7VoL05Rw_upLWF9vcJ4w9yzh_19ssWzfogtZPsr3W6_r05ouHniaRyxqBydneXIDuXRWjlz6XuUsiVz5K1dKp_KCRSmPj_F-Wk9ycT2dsf26fn2dV_X1UncvK_-lvqnXtlf3b49Sn0-PtZm-cnKxpS6z_GMofn2-_WjUmL0ZGkxAowJYOGgWUaC1_Cwzev_5PHwIrzIMOpXXe6ChNIxQaNWBb7jbb4sMxufSjClVY7_Um-cWxnTqoxAzQQY0TYCBzZnIeBfGQKsC2rrjLUy8JZ1uYYAg7AQLOxDh3rThXjBI8DvhrUggj6hmogAKsRbe8X7mxWcTxRBhLgoPWGNgQcYZzmGhDXm150xl0EYZD8JBzDlWU2DuFnKSGCYmNSJ7-9z2lyJTjAxmxN4x6lSDTJQkyL7XbSWBqj3OxnukODdA5nTmtDVLKc_nTJ39XSdYY9w7IkOMZ8YmmqvX3pNd3G9kEy13Bv3I3fm7H0kvUZX3tmIFsovB5MHe5CHVFxvZ0xg9dDP3Hxfnw9c_N9CKDhgpBCMdzPkxLdD7oMcI75MWfVnYfKgLw-KKs0Dy5lnxTZ3o2ZFAHibQPzlyVg_80uF745vPfsZMfmw63EPPTEm-iTLdqkm3bqOi34vCjdL7AgAA,https://pic1.58cdn.com.cn/anjuke_58/760604bd18667262c18c5423878f3f7e?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,徐长生 7日内实拍验真,房兴汇房产
带大露台 鱼胡路轻轨旁 星澜汇精装三室双卫,1600元/月,3室     79.35㎡,龙洲湾    协信星澜汇(一期东西区) 距3号线-鱼胡路1451m,https://cq.58.com/zufang/82329481287900x.shtml?compressed_params=H4sIAAAAAAAAA0VRWW-jMBD-N3lLa0O5HqJVKlM5goLZ0rjsS8SRy4RJagci-PU7VFrtk4-Zb-Y7zLlZUctyfc-jtmX51CWW5VmB5TqOS-jidO3NftOs7MD2bZsELvEc6lrewpxKOH73JawuVzhO2Pco4f8vQizbt-iiKe_lx7XX9X5FF3fc9kJ8r65Ld-kFPl2-7ANrGewP7vJQVtR3HHJwCFmUze4-3varqVlc9keEX1bPz_Otvpzr9snxn-pr96z67vbrXurj_r4y07ckZ7vRZSo_h-Lw9f771I3pu6HBBLROhQoykEGsed5-lSm9_XlsP3OvMhzaTtYZUNYYTiiobivWwu1fixTGx9KMCe3GfqnXj1cYk6kP2QCcFIKTVsg61TxsIWAR0IpqBYivBlCkAd5NomVtzlkLOcuMYlnOIcZ3LFQegwwpcikQEenQ292Oovg6hRGE2BeyLZ4R8CAVHHBfTuedWpEY_wqsDfncx2u7H9nQy82r4aISM3flSpiKVNAQ9eB8jtpl-KMb-WRaVQ3QLgMFeIdJyARrNUVetuYJFRL5UhZrVVOgYSFkFWFtB5xFuDMy4Xx66hZvon7dnMLlxqA_zeb45oeNF3eV9-7wArnng5FBZiSj-mxngicR-tDOvH-8OG6__3kDKm9nfTl6qdVGdgMbMItUK4ZZJClgFv3YDWbs3U4yG2e1vUxm7DwT-eXoP9kJXg_i3GLemPnsz5g2n-sWa6h_3cUwvkk4JQVIkor2L9aTBOr7AgAA,https://pic8.58cdn.com.cn/anjuke_58/999f77ec873be0aec3021f0f0a0c8017?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,廖浪,好房好宅
数据谷旁边 配套齐全 10号线 精装修 拎包入住,1100元/月,1室     43.00㎡,悦来    悦来阳光雅居 距10号线-悦来1600m,https://cq.58.com/zufang/82431172162653x.shtml?compressed_params=H4sIAAAAAAAAA0WRXXOiMBSG_413tITI14WzowPdOFiMbpTSmw4QqwRzWoNg4dfvYWZn9irf5zzvk7aWC-I4XuD7hDpOQDzbcXwndDzX9Wwyu3x17WktFzR0CZ37NHT8eeC681l7KeB86wpYDNfx9n853XVcas9kcS_-fHWmOi3I7I5t5r6kgev5lgzdypo7wacVUs-2PEIrSoPic-7MZ4X8uA_fp8UoZ9fTGZ9fF8_P06y61lXz5AZP1Zd-Vp3-_nUvzPl0X7TjLbNrKk2xzQ59_vn2ur_oYfvaknDkCnbA7BGYHnmWkrdiS77fH8eD8MuWQaOzagckki2zCSh95Evudat8C8PDaoeU6KGzzPKxgiEduzja8izOOdOUE70BAhTiKAFSSmCQcwJbyOzcqFRyETWCRQ2IaNeqaCcYbHC94UpsIIuJYSLH9wkwkRyWFlm__y7xPJnqtTjinBqWEp6JLWdix7NS8gyzkDDh4XTPtzqVNl22tnSNvH23alksjaqORtmjqWUJzLoYFdFu8C9mqbFXiLWgB4W8qkKWuDEqlthzZ6Y9ohvs2QB6Qm-9YRUV8T9-5BJ1nkxj3B838fA4duXLue79y_q8Hw8lf6z7l6Qj-W3KzVeUQk2RtwyApVJgTnSRQN3skP30g3VBiSl_Awq9iCjnPXpRac9HWRq2zzDPiNxHMzEXeQ8MDaBzPegcHSZTTeRpJretimmrYMR8k_fk8Lr_wD9e6QuyZCUxS98zw4vH-2jzF3BwH6vyAgAA,https://pic3.58cdn.com.cn/anjuke_58/6424842671fb25b9295bf08112aee821?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,何小容,人人居
