location,latitude,longitude
体育中心    宝龙城市广场(晋江),24.808068281382436,118.57263973689511
宗关    融侨锦江 距1号线-宗关664m,30.58512178524914,114.23583472735051
上海南站    汇成苑一村 距15号线-华东理工大学979m,31.159438874262317,121.43586513902925
台商投资区    保利时光印象,23.1987530916325,113.57288084468487
大唐西市    御溪书院(商业) 距6号线-大唐西市791m,31.15317696641399,121.39894613002743
进港大道    金涌街小区 距4号线-大涌429m,23.1376613461669,113.32675492656227
松江大学城    莱顿小城,31.072669881386464,121.25248199798361
白云公园    白金壹号C区,26.688797420388234,106.65668946456732
观音桥    城市领地 距3号线-华新街300m,29.572660731536796,106.54313547356348
拉萨火车站    顿珠金融城融晖园,29.641159087347475,91.10190236753022
新安    宝河大厦 距12号线-新安公园402m,34.743560300567246,112.13816101742249
群力    里普利广场,45.73953955880347,126.52904114877119
布达拉宫广场    拉萨市第四期安居园,29.68679593804462,91.14442815035852
"两路口    下罗家湾3-7号,29号... 距10号线-曾家岩572m",29.571743248275318,106.93738074141365
湖东    凤凰城(工业园区) 距6号线-涵青桥站940m,40.46582033258959,124.07432038291391
布达拉宫广场    哈达职工住宅区(孜希塘路...,41.16511618909607,121.34572422347776
公明    金地明峰府 距6号线-薯田埔站253m,22.785134526043514,113.90322883315646
彩虹城    钱江彩虹城 距4号线-联庄641m,39.84503008709615,116.42290402874839
花果园    花果园半山小镇W2区 距3号线-松花路1127m,30.706157357809133,104.07821849360116
布达拉宫广场    哈达职工住宅区(孜希塘路...,41.16511618909607,121.34572422347776
安埠    安埠小区(南区) 距3号线-油坊街724m,45.734800388450765,126.70096640303812
葵涌    卓越蔚蓝铂樾府,22.63461457332589,114.43980674630191
布达拉宫广场    康桑苑(娘热路),41.16511618909607,121.34572422347776
龙洲湾    佳兆业广场(一期) 距3号线-大山村1199m,29.416903649715525,106.54360340090348
拉萨火车站    圣地财富广场,29.637407098361823,91.08554305640176
和睦    杭曜置地中心(南区) 距5号线-和睦702m,30.319613543161253,120.12824905902416
后湖    星悦城一期 距8号线-中一路1171m,40.012119820371865,116.30256414805412
城关    城关,36.0631814753695,103.83147490052859
南坪    升伟一里南滨(商住楼) 距3号线-南坪1079m,29.529313469766954,106.52392413227233
西寨    田园美居 距2号线-韦曲南405m,39.613953005533226,117.19801583125742
农业园区    金鹏两江时光 距9号线-宝圣湖1643m,42.66037494317727,128.11242705884513
金银湖    融创观澜壹号(西区) 距6号线-海口三路1852m,30.65159302378657,114.16814695802091
布达拉宫广场    宏发尼盛峰誉,41.16511618909607,121.34572422347776
凤凰城    碧桂园凤凰城凤馨苑,40.46582033258959,124.07432038291391
中南路    嘉园大厦 距4号线-中南路91m,30.679873041216386,104.04611619874382
弹子石    泽京微V,30.861289477524796,108.01699485810546
新添寨    北衙尚城,26.64260428083102,106.7772236487036
溧水区    秦淮佳苑5期 距S7号线-溧水1488m,31.677413366394315,119.05837582037333
彭后    元北小区 距2号线-槐中路1447m,31.279937808755786,121.58698707497284
花果园    花果园R区(商住楼) 距3号线-五里冲761m,26.570062524642587,106.67867953429156
八匹马    富力新天地 距2号线-观山西路719m,23.131151797575086,113.39270752894701
科技路西口    中国铁建瑞园 距3号线-丈八北路801m,30.114235152277878,119.17770259211345
布达拉宫广场    加措社区,28.784026930087183,87.259505741444
三桥    万科云岩大都会 距2号线-改茶路549m,26.590645601638006,106.67770729823843
金色港湾    观澜高尔夫公馆 距6号线-江城大道1709m,39.75829401353539,116.2969633928605
朝天宫    莫愁路249-265号(... 距2号线-上海路941m,32.055288244816566,118.78391208770427
拉萨火车站    双创广场,29.63316609542391,91.08965100749754
淘金    保利麓苑 距5号线-小北924m,39.92233810593866,116.37030231232282
三里屯    首开幸福广场 距17号线北段-工人体育场420m,39.943351020897126,116.45600146644968
石林城区    世纪阳光(一期),40.37760206345945,116.84574424755294
朝青板块    青年汇佳园 距6号线-青年路490m,,
安溪万达广场    安溪万达华府,25.078393510951315,118.22965726109096
休门    四中路68号大院 距2号线-裕华路454m,30.67582050540015,104.04896364754936
潘家园    农光南里 距10号线-潘家园442m,39.88300607704931,116.46886538101366
滇池路片区    南亚风情第壹城南亚星光苑 距5号线-福海383m,34.015759132808405,108.75259918428566
垡头    首创繁星,39.84424121857243,116.54406370305108
布达拉宫广场    尼霞苑(B区),41.16511618909607,121.34572422347776
青村    北唐新苑(东区),30.935522807565917,121.58376197853092
北国商城    休门南街6号院 距2号线-裕华路866m,38.0944290560109,114.31258981283672
大石    天骄时代 距3号线-大石798m,23.02216166551463,113.33062347923972
北苑    北苑小区(新华) 距3号线-西三庄1687m,38.0856818525086,114.4585245734435
蔡家    红星大都汇 距6号线-蔡家1222m,38.862203320901365,115.51834622259045
琶洲    保利天悦 距4号线-万胜围1182m,23.104080363758758,113.34692089711857
大浪    元芬新村 距6号线-元芬站692m,22.660688961580146,114.00894995943808
西安交通大学    陕钢家属院 距6号线-公园南路51m,30.77039889704779,103.99321381946406
东平新城    盈天广场(商住楼) 距3号线-湾华587m,35.94190801501926,116.47759421565412
胜北    神州嘉园花香维也纳 距2号线-建和桥1231m,31.990730797663037,117.69121349353668
南坪    万达广场银邸 距3号线-南坪192m,29.536840907086287,106.57629327738407
佳荣里街    瑞桐家园,39.19323956393515,117.1156332210734
进港大道    阳光城丽景湾澜悦,40.162528800823154,117.11393838806772
赵陵铺    苏秀苑 距3号线-柏林庄1287m,38.09978305739108,114.48048805333191
前卫营    润城第四大道,25.311479119256447,102.77141914192889
石铜路    丰河苑,36.18664365101327,120.41765354008778
石狮泰禾广场    曾坑社区自建房,24.733763742377075,118.65278691379108
高营    南高营,38.094581907206496,114.56777029125898
拉萨火车站    圣地财富广场,29.637407098361823,91.08554305640176
奥南    莲花新城北苑 距S3号线-油坊桥164m,41.446771528957576,120.06498265958413
北市区    金水湾小区 距2号线-司家营1183m,31.176419085183927,121.27047604548453
鹿角    融创欧麓花园城依云郡,29.137521288558787,108.29567445682379
布达拉宫广场    加措社区,28.784026930087183,87.259505741444
西安奥体中心    1668新时代广场 距3号线-国际港务区970m,34.367774489116684,109.03867903665686
武宁    中岚大楼 距3号线-镇坪路525m,29.262352150699854,115.10744177398514
龙溪    金城国际 距6号线-花卉园830m,45.55025192520799,126.98177149528703
城市广场    星空广场 距广佛线-南桂路1986m,39.72878228840534,116.18500946359353
小寨    陕西省军区西安第八离职干... 距3号线-小寨728m,34.051643462590974,109.29411400503011
冉家坝    兴茂盛世北辰(B区) 距环线-南桥寺966m,29.590431057389644,106.4947907371351
竹子林    一冶广场 距2号线-深康1085m,30.633725977522474,114.2763644753497
观音桥    旭阳朗晴广场 距3号线-观音桥369m,39.78548772337107,116.59435084549965
盛泽    新城十里锦绣,30.887544769622583,120.5658373881999
韦曲    长安花园 距2号线-航天城361m,34.164915878664615,108.94122860917068
潍坊新村    潍坊六村 距6号线-浦电路768m,36.71265155126753,119.16837791142822
建港    弘阳印月府 距6号线-前进村1607m,31.036517804975315,121.84800016124085
布达拉宫广场    加措社区,28.784026930087183,87.259505741444
钱江世纪城    君品名邸 距2号线-盈丰路1319m,30.237506005826564,120.26058248607382
朝外大街    中骏世界城 距6号线-东大桥690m,39.91773056473404,116.13213026059591
潮鸣    兴和公寓 距5号线-建国北路421m,23.19932234721448,113.37366192502242
湖墅    大塘新村 距2号线-沈塘桥895m,,
布达拉宫广场    加措社区,28.784026930087183,87.259505741444
光谷软件园    旭辉千山凌云 距2号线-黄龙山路1442m,40.12917936026686,116.61863357055371
浮桥    鼎盛大观,24.970317038896575,118.40797701324017
温泉    富力泉天下,47.286267328178155,130.29142965692074
北湖    紫藤花园 距6号线-三眼桥304m,39.95412764421206,116.4881440952244
四新    保和墨水湾 距6号线-建港1934m,30.53721817875035,114.25240127756553
西安交通大学    云峰大厦(碑林) 距5号线-雁翔路北口339m,30.77039889704779,103.99321381946406
昆明路    宏府鹍翔荟 距5号线-汉城南路371m,29.790911071106986,119.69992592608004
福永    会展湾东城广场 距12号线-国展北1029m,39.93482727239599,116.4224009776628
西南    旭辉城,39.68525515436743,116.14317250141622
韩森寨    融创东方宸院 距8号线-韩森寨站287m,34.25713761539783,109.02880046079417
拉萨火车站    海亮世纪新城,29.62306098553846,91.08870796637346
容桂    实地紫藤公馆,22.768501188158954,113.26486284474241
拉萨火车站    高度梧家,29.63406614051518,91.08741701152552
二郎    金科云湖天都,29.51209435722599,106.49148569150388
万达广场    万达华府C区,39.912079085025304,116.23189795697564
冉家坝    新城丽都 距5号线-大龙山786m,29.59649396776858,106.49818202009526
辛家庙    天香心苑 距3号线-辛家庙354m,34.32731772535735,109.02736155502829
天河智慧城    万科云城米酷 距21号线-天河智慧城720m,23.17738368154778,113.41742449487644
紫金山    奥克斯钟山府 距2号线-仙鹤门901m,23.23591564137028,113.72072037224618
天河客运站    长福路小区 距3号线-天河客运站1336m,23.176344896220243,113.35067428702968
钱江世纪城    拥翠府 距7号线-明星路1531m,30.237506005826564,120.26058248607382
太白立交    凯旋城 距5号线-边家村981m,40.00387414654514,116.4261095421302
赵巷    龙湖滟澜山(一期公寓住宅...,40.097958953793785,116.50779884012162
二仙桥    中车共享城锦苑 距8号线-十里店1086m,39.89683482603021,116.19099092066226
皇岗    阳光城市 距10号线-福民站640m,22.53310734817462,114.06830684344853
天河北    隆德大厦 距3号线-石牌桥100m,23.139580916543036,113.33696668393523
布达拉宫广场    天峰祥和苑,26.869678693431933,100.23760005180283
